Component,Average_Power_Watts
Wire Wound Resistor,4.828368472128188
Inverter Module,13.196133057661383
OpAmp IC,5.084752503413746
Buck Converter,12.94856990915134
Electrolytic Capacitor,12.913036773191301
Microcontroller IC,5.069055299642218
Boost Converter,13.108895352915388
Metal Film Resistor,4.935427472283814
Trimmer,12.994479821627648
Tantalum Capacitor,13.036547122302158
IC555 Timer,5.097867817648387
Voltage Regulator IC,5.049395241332427
Carbon Composition Resistor,4.96185685565846
Thick Film Resistor,4.929119047619047
Potentiometer,13.00920350837483
Rheostat,13.512246510020733
Ceramic Capacitor,12.867212319168173
Thin Film Resistor,4.907831318313629
